"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"CTD-2066L21.1",2.13177342332235,-2.0064493939056,0.507788596839868,-3.95134787664076,7.77122638205639e-05,0.0111304984401686,1.74461621867974,"down"
"GKN1",2.7247004119291,-2.13892680547817,0.541664718331915,-3.94880215212302,7.85432325227029e-05,0.0094080558843911,2.29753316530199,"down"
"IVNS1ABP",9460.88873194391,-0.371293650649481,0.0942658934320429,-3.9387909787027,8.18932341686578e-05,0.0283727293491226,0.470066330603977,"down"
"RADX",223.423648424625,-0.792908932324225,0.201662283103793,-3.93186529538657,8.42892944199358e-05,0.0132780284126642,1.43043172647087,"down"
"MYO1H",30.3669127813682,-0.601121822104888,0.153928374860305,-3.90520475935919,9.41456358704526e-05,0.00982125381923023,2.60133713933961,"down"
"FGFBP2",107.681781733745,-1.15597115400456,0.29653050567703,-3.89832119081737,9.68618853262825e-05,0.00762550823021164,3.94931629578788,"down"
"CFAP58-DT",34.8239460618901,-0.764396976754318,0.197398312405096,-3.87235821543216,0.000107787379572506,0.0115511758781859,2.27180966890904,"down"
"RAMACL",5.31028087721061,-0.888085810410526,0.229484378455751,-3.86991836388448,0.000108871803347334,0.0115511758781859,2.29753316530199,"down"
"STC1",1607.43964266433,-0.754677355321358,0.195791563258992,-3.85449374201622,0.000115969349684685,0.0354295418710132,0.474760708009799,"down"
"RAPGEF4",332.82173242092,-0.545112427120156,0.141588744898346,-3.84997004890128,0.000118132269682672,0.0150802015286694,1.68255731914937,"down"
"SOCS2",1409.438895424,-0.626592920348431,0.164393956362515,-3.81153257828222,0.000138107849121525,0.0397607347595575,0.470066330603977,"down"
"COLCA2",491.090691770854,-0.85174536738478,0.223547010210784,-3.81013982956722,0.000138888215323294,0.0318735831928343,0.652126841598134,"down"
"PGF",1265.52389067985,-0.756090166511602,0.199681505843666,-3.78648069242606,0.000152795962423978,0.0426299647964098,0.474760708009799,"down"
"ADGRF2",30.2565149645309,-1.15498647620536,0.306756492571685,-3.76515739413555,0.000166444203130123,0.0113513189086419,3.62801028336934,"down"
"UNC80",23.2712893240359,-0.980995852776222,0.263153588029819,-3.72784524855144,0.0001931238980138,0.0168988933789617,2.2998803540049,"down"
"CD300LG",30.9400462697093,-1.20406675857265,0.323094947812289,-3.72666538652342,0.000194029773041766,0.0168988933789617,2.2998803540049,"down"
"LINC01303",30.6940360493717,-0.798283242234509,0.215639441475424,-3.70193521543455,0.000213961257340421,0.0184335719878596,2.29753316530199,"down"
"CTC-459F4.6",6.3461985592257,-0.567366234055086,0.153773700541162,-3.68961813403986,0.000224590918961492,0.0227994176482261,1.74461621867974,"down"
"LINC01828",4.6768093856863,-0.774065856674186,0.210931068133854,-3.66975744029787,0.000242780728067782,0.0218684230259713,2.00131310576831,"down"
"IGFL1",129.748006473895,-1.61536146305551,0.441893698285266,-3.65554310759305,0.000256638077361585,0.0154055393227207,3.5232534993216,"down"
"DRAXIN",60.7424507135572,-0.656200100797087,0.17964299811214,-3.65280087558693,0.000259395381702416,0.0209297682604732,2.2998803540049,"down"
"LINC01108",26.901945671989,-1.2468413629414,0.342077273223062,-3.64491142949552,0.000267483904999051,0.0212826769567173,2.29753316530199,"down"
"SOX7",467.416787691954,-0.729042236174685,0.200174184928719,-3.64203923914711,0.000270486830005918,0.0489155123317055,0.652126841598134,"down"
"LINC02188",45.7665880961754,-1.27280089139451,0.350929002688373,-3.62694699396152,0.000286792138671269,0.0160887898875503,3.62801028336934,"down"
"CSN3",4.97047562417071,-3.01733776432574,0.834389590846353,-3.61622172355378,0.000298934351440276,0.0229393377082937,2.2998803540049,"down"
"TLL2",86.6260856997543,-0.833317931847367,0.232881317943327,-3.57829446864502,0.000345843677423718,0.0256424320655043,2.2998803540049,"down"
"CTA-392E5.1",4.48384100426805,-1.73143635075582,0.488214529303141,-3.54646624963662,0.000390434750447833,0.0283727293491226,2.27180966890904,"down"
"CTD-2323K18.1",22.2377720096286,-0.348998022691778,0.0995117382227639,-3.50710407560686,0.000453011931641215,0.0308607258968921,2.27180966890904,"down"
"KLRK1-AS1",322.701377998413,-0.838985505828868,0.240272993782606,-3.4918011076516,0.000479775357013684,0.040547091203387,1.59691925975409,"down"
"MCF2",16.9687475344834,-0.870283476403334,0.253209331804883,-3.43701185971279,0.000588169849094045,0.0366794034081233,2.27180966890904,"down"
"RP11-73K9.3",11.6328260470474,-0.435459469965722,0.126754675363729,-3.43545095055586,0.000591568540011165,0.0367135539586637,2.27180966890904,"down"
"RP11-414J4.2",2.2959102290089,-1.08677510282153,0.31780430180252,-3.4196362247382,0.000627049276876054,0.0454679315734888,1.74461621867974,"down"
"TRIM17",352.362526946015,-0.794842947770124,0.232538760874962,-3.41810950045235,0.000630577320805414,0.0426299647964098,1.96112842003951,"down"
"SOBP",289.834796166885,-0.641284433565812,0.188271455183411,-3.40616920892806,0.000658813332759061,0.043589618950466,1.96112842003951,"down"
"LAMB4",36.2880666181738,-0.861446585047981,0.253781473124335,-3.39444236981764,0.000687685119198685,0.0283727293491226,3.94931629578788,"down"
"LIPF",2.2274888545869,-1.62865348699702,0.481000987319331,-3.38596703527299,0.000709279032792647,0.0456901261462764,1.93818316586726,"down"
"CTC-459F4.1",43.6115486424435,-0.651542211422443,0.192989622353561,-3.37604791116075,0.000735351126722399,0.029680451527361,3.94931629578788,"down"
"RP4-569D19.5",3.79620447023867,-1.19065966010964,0.353340999190068,-3.36971838206967,0.0007524504130462,0.0463767400537693,2.00131310576831,"down"
"ELL3",71.0224957159855,-0.478717606916539,0.142258427704108,-3.36512651406672,0.000765085693685507,0.0304775134736106,3.94931629578788,"down"
"CHCHD2P2",70.3504436414752,-0.576899510740027,0.17236221723589,-3.34701838947974,0.000816857913171631,0.0452425460884356,2.29753316530199,"down"
"CTC-510F12.4",15.8532275077255,-0.507897983264844,0.152586229396422,-3.32859646164605,0.000872847727995628,0.0467424682947443,2.27180966890904,"down"
"LINC01588",112.101759193986,-0.399326413497462,0.120554236575664,-3.31242123744719,0.000924921656473582,0.0479240629664229,2.29753316530199,"down"
"LINC02212",2.73275810680026,-1.79430164038834,0.544781239019844,-3.29361863418168,0.000989065934083264,0.0494827805040634,2.29753316530199,"down"
"SHC4",57.8077722653777,-0.615571876189583,0.188197787672528,-3.27087732434297,0.0010721440813713,0.037561828616333,3.94931629578788,"down"
"EWSAT1",26.1917762860657,-0.905324528336487,0.277507804196896,-3.26233898522776,0.00110496924449357,0.0491748888602888,2.60133713933961,"down"
"ZNF804A",36.369916394412,-0.56334502636791,0.176675813837501,-3.18858033893677,0.00142973274661348,0.0474247096525873,3.62801028336934,"down"
"VLDLR-AS1",45.8037643801835,-0.628225628449526,0.197737879217788,-3.17706263936208,0.00148774898956605,0.0463767400537693,3.94931629578788,"down"
