"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"ATP8B5P",44.11091760001,0.959734178580496,0.223996943563167,4.28458604529954,1.83079744353532e-05,0.00325321548578072,2.27180966890904,"up"
"KRTAP3-1",8.76664983612426,1.84346468474797,0.430361303579167,4.28352797850667,1.83952954574549e-05,0.00325321548578072,2.2998803540049,"up"
"SPACA3",7.69973797429009,1.22331838701685,0.28667770512757,4.26722540726522,1.97919156476278e-05,0.00342652396321723,2.27180966890904,"up"
"IGHV3-43",554.58774769177,1.15047154284898,0.269817243381001,4.26389184187325,2.00896716588121e-05,0.0094080558843911,0.582609483363748,"up"
"PAGE4",3.75187717159052,2.79192968954956,0.655479905805247,4.25936731976508,2.05006343610533e-05,0.00342652396321723,2.29753316530199,"up"
"RP11-923I11.6",103.820884199963,0.909390832153037,0.213913203021134,4.25121413409526,2.12614763755268e-05,0.00256352672747778,3.62801028336934,"up"
"LINC02505",3.34900174080272,2.98469608913258,0.702161270356279,4.25072731171592,2.13077460785163e-05,0.00398075117934361,2.00131310576831,"up"
"CCNB3",34.2105405963185,0.764374042130305,0.180411960162198,4.23682577054815,2.26701911471083e-05,0.00267288942585402,3.62801028336934,"up"
"SERPINA11",17.5617412015225,1.88635287880552,0.446571248542763,4.22408044620204,2.39918346275882e-05,0.0028049447813871,3.62801028336934,"up"
"FAM178B",130.298297584571,0.952269013205796,0.225919937382923,4.21507293352222,2.49697481722414e-05,0.0040335718032536,2.29753316530199,"up"
"PRH2",5.52991256290296,0.983869484274249,0.233488104591352,4.21378847541807,2.51122484853174e-05,0.00407257805667587,2.27180966890904,"up"
"SLC34A3",30.76679618045,1.03110255573499,0.247199317607776,4.17113835795861,3.03081761268901e-05,0.00480990114539524,2.27180966890904,"up"
"NAV2-AS6",30.0502616150777,0.961556979097816,0.231072293977235,4.16128200636873,3.16465998217488e-05,0.00444966847800581,2.60133713933961,"up"
"IGLC7",637.46680805293,1.1407620853934,0.274472669007972,4.1561955495112,3.23590885907944e-05,0.010827925089898,0.752246758469402,"up"
"PPIAP59",4.3509269863249,1.49551825736001,0.360035028187444,4.15381321336713,3.26980119239601e-05,0.00505880037266077,2.29753316530199,"up"
"SPINK4",10.2909615311489,1.58952893803111,0.383378711021566,4.14610642775545,3.38176684946677e-05,0.00512933491360235,2.2998803540049,"up"
"ASTN1",49.3949571165051,1.31479775765785,0.317138465434015,4.14581610546202,3.38605507552262e-05,0.00512933491360235,2.2998803540049,"up"
"AC003092.1",3.68132245956909,1.57892284537446,0.380864932932981,4.14562410147719,3.38889392085447e-05,0.00512933491360235,2.2998803540049,"up"
"CDH2",383.125335165496,1.08527956481173,0.261908655202735,4.14373310409177,3.41697400482772e-05,0.0123586818675505,0.652126841598134,"up"
"VXN",50.0584490912397,0.768119672802456,0.185807138941911,4.13396211349336,3.56562278823005e-05,0.00342652396321723,3.94931629578788,"up"
"SCG2",194.268306034176,0.902921827717605,0.21858216868318,4.13081191918417,3.61484247444561e-05,0.00544933851365675,2.27180966890904,"up"
"TDRD12",38.1876484745399,1.0991884432048,0.266323782420399,4.12726356322811,3.67105561700724e-05,0.00544933851365675,2.29753316530199,"up"
"GFY",7.04773571911251,1.60663579391372,0.389680723129368,4.12295425088384,3.74044008928895e-05,0.00751662360117381,1.57971631346626,"up"
"RP11-419J16.1",1.89947392827422,1.3240739336113,0.32272275579081,4.10282172500276,4.08141735070971e-05,0.00762550823021164,1.64730756104725,"up"
"TUBA3C",2.11730769366424,2.50391509651339,0.612051892792943,4.09101765062341,4.29484439154724e-05,0.00762550823021164,1.74461621867974,"up"
"ESRRAP2",7.19265842358457,0.855936995861918,0.209506882953446,4.08548389339607,4.39850518692748e-05,0.00647873064217586,2.2998803540049,"up"
"AC092198.1",6.04811945225485,1.32813776430016,0.325958386800292,4.07456233090846,4.6100964949421e-05,0.00745326745185433,2.00131310576831,"up"
"RALGAPA1",1054.70955101825,0.525532219873367,0.129025987034435,4.07307265731755,4.63969423757966e-05,0.0204167546946843,0.424618870083497,"up"
"POMC",146.815849114251,1.08380134008566,0.266254566612729,4.07054554546689,4.6903169667515e-05,0.00681704765179315,2.2998803540049,"up"
"ZNF676",14.3617433583523,1.22189212174288,0.301080931979534,4.05835106763233,4.94204353840905e-05,0.0092137855303993,1.49577483009383,"up"
"LINC01101",5.87879005483186,1.60387754659469,0.395249277245889,4.05788862606042,4.9518371553748e-05,0.00715710361466988,2.29753316530199,"up"
"GALR1",1.63689772992473,1.78011380288394,0.439852585690601,4.0470690881333,5.18629374676203e-05,0.00887780733873959,1.64730756104725,"up"
"EMX2OS",8.70527874861856,1.56679922362229,0.387360032041229,4.04481385280226,5.23647143675234e-05,0.00745326745185433,2.2998803540049,"up"
"FAM163B",11.3342147997678,1.15379497094968,0.285276791429682,4.04447542040614,5.244040945304e-05,0.00745326745185433,2.2998803540049,"up"
"IFITM10",957.775858183741,0.735786689662967,0.182487481594574,4.03198445851556,5.53078454466512e-05,0.0212826769567173,0.474760708009799,"up"
"GPAT2P2",7.43618441476587,0.799008296557246,0.198303298407204,4.02922343185905,5.59614108136012e-05,0.00993905652384344,1.49577483009383,"up"
"RP11-472G21.2",7.3173363658242,0.936413899095114,0.232616384350537,4.02557155081562,5.68370943582353e-05,0.00765336291283217,2.27180966890904,"up"
"RP11-818F20.5",16.1927993905161,1.19126327200385,0.296693292991865,4.01513381037742,5.94120776494176e-05,0.00789050829170687,2.27180966890904,"up"
"FABP7",43.362025617607,1.52978461502101,0.381737685256218,4.00742361602112,6.1384704817762e-05,0.00795986592914412,2.2998803540049,"up"
"KRT8P35",6.30456681124525,0.960415802095612,0.239830803610219,4.00455566023334,6.21341606446326e-05,0.00802613338736061,2.27180966890904,"up"
"RP11-190A12.10",83.5840074947272,0.838865595156028,0.209827293583749,3.99788597960069,6.39107220475661e-05,0.00816072719142063,2.27180966890904,"up"
"RP11-138A9.2",15.5556284033999,0.957284479794047,0.239518133687601,3.99670983176002,6.42289504436637e-05,0.00762550823021164,2.60133713933961,"up"
